Comment,Designator,Footprint,LCSC
"MountingHole","H1,H2,H3,H4,H5,H6,H7,H8","MountingHole:MountingHole_3.2mm_M3_Pad",""
"DRAGON_CONNECTION","J1","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical",""
"CoCo_CONNECTION","J2","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical",""
"0","SW1","Cherry_MX:CHERRY_PCB_100H",""
"9","SW10","Cherry_MX:CHERRY_PCB_100H",""
"RIGHT","SW11","Cherry_MX:CHERRY_PCB_100H",""
"MINUS","SW12","Cherry_MX:CHERRY_PCB_100H",""
"AT","SW14","Cherry_MX:CHERRY_PCB_100H",""
"COLON","SW16","Cherry_MX:CHERRY_PCB_100H",""
"SEMICOLON","SW17","Cherry_MX:CHERRY_PCB_100H",""
"COMMA","SW19","Cherry_MX:CHERRY_PCB_100H",""
"1","SW2","Cherry_MX:CHERRY_PCB_100H",""
"PERIOD","SW20","Cherry_MX:CHERRY_PCB_100H",""
"SLASH","SW21","Cherry_MX:CHERRY_PCB_100H",""
"A","SW23","Cherry_MX:CHERRY_PCB_100H",""
"B","SW24","Cherry_MX:CHERRY_PCB_100H",""
"C","SW25","Cherry_MX:CHERRY_PCB_100H",""
"D","SW26","Cherry_MX:CHERRY_PCB_100H",""
"E","SW27","Cherry_MX:CHERRY_PCB_100H",""
"F","SW28","Cherry_MX:CHERRY_PCB_100H",""
"G","SW29","Cherry_MX:CHERRY_PCB_100H",""
"2","SW3","Cherry_MX:CHERRY_PCB_100H",""
"H","SW30","Cherry_MX:CHERRY_PCB_100H",""
"I","SW31","Cherry_MX:CHERRY_PCB_100H",""
"J","SW32","Cherry_MX:CHERRY_PCB_100H",""
"K","SW33","Cherry_MX:CHERRY_PCB_100H",""
"L","SW34","Cherry_MX:CHERRY_PCB_100H",""
"M","SW35","Cherry_MX:CHERRY_PCB_100H",""
"N","SW36","Cherry_MX:CHERRY_PCB_100H",""
"O","SW37","Cherry_MX:CHERRY_PCB_100H",""
"P","SW38","Cherry_MX:CHERRY_PCB_100H",""
"Q","SW39","Cherry_MX:CHERRY_PCB_100H",""
"3","SW4","Cherry_MX:CHERRY_PCB_100H",""
"R","SW40","Cherry_MX:CHERRY_PCB_100H",""
"S","SW41","Cherry_MX:CHERRY_PCB_100H",""
"T","SW42","Cherry_MX:CHERRY_PCB_100H",""
"U","SW43","Cherry_MX:CHERRY_PCB_100H",""
"V","SW44","Cherry_MX:CHERRY_PCB_100H",""
"W","SW45","Cherry_MX:CHERRY_PCB_100H",""
"X","SW46","Cherry_MX:CHERRY_PCB_100H",""
"Y","SW47","Cherry_MX:CHERRY_PCB_100H",""
"Z","SW48","Cherry_MX:CHERRY_PCB_100H",""
"SHIFT","SW49","Cherry_MX:CHERRY_PCB_225H",""
"4","SW5","Cherry_MX:CHERRY_PCB_100H",""
"DOWN","SW50","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"5","SW6","Cherry_MX:CHERRY_PCB_100H",""
"BREAK","SW61","Button_Switch_Keyboard:SW_Cherry_MX_1.75u_PCB",""
"ENTER","SW64","Cherry_MX:CHERRY_PCB_225H",""
"SPACE","SW65","Cherry_MX:CHERRY_PCB_625H",""
"CLEAR","SW66","Cherry_MX:CHERRY_PCB_100H",""
"LEFT","SW69","Cherry_MX:CHERRY_PCB_100H",""
"6","SW7","Cherry_MX:CHERRY_PCB_100H",""
"UP","SW70","Cherry_MX:CHERRY_PCB_100H",""
"SHIFT","SW73","Cherry_MX:CHERRY_PCB_275H",""
"7","SW8","Cherry_MX:CHERRY_PCB_100H",""
"8","SW9","Cherry_MX:CHERRY_PCB_100H",""